STUDENT_ID	PRE_STATE	ACTION	POST_STATE	ERROR	SEQNUM	GOAL	ACTION_LABEL
2dbadbae80020c6600c5505b5a6cd90d	@	Term0DefinitionUpdateComboBoxGiven Value	"Term0DefinitionUpdateComboBoxGiven Value,@"	0	1	FALSE	UpdateComboBox(Given Value)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,@"	Numerator4UnitsUpdateComboBoxmol	"Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	2	FALSE	UpdateComboBox(mol)
2dbadbae80020c6600c5505b5a6cd90d	"Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Numerator4SubstanceUpdateComboBoxCOH4	"Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	3	FALSE	UpdateComboBox(COH4)
2dbadbae80020c6600c5505b5a6cd90d	"Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Denominator4SubstanceUpdateComboBoxH2O	"Denominator4SubstanceUpdateComboBoxH2O,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	4	FALSE	UpdateComboBox(H2O)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator4SubstanceUpdateComboBoxH2O,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Denominator4UnitsUpdateComboBoxkg	"Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	5	FALSE	UpdateComboBox(kg)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Numerator1UnitsUpdateComboBoxg	"Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	6	FALSE	UpdateComboBox(g)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Numerator1SubstanceUpdateComboBoxH2O	"Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	7	FALSE	UpdateComboBox(H2O)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Denominator1UnitsUpdateComboBoxkg	"Denominator1UnitsUpdateComboBoxkg,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	8	FALSE	UpdateComboBox(kg)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator1UnitsUpdateComboBoxkg,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Denominator1SubstanceUpdateComboBoxH2O	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	9	FALSE	UpdateComboBox(H2O)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Denominator1ValueUpdateTextField1	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1ValueUpdateTextField1,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	10	FALSE	UpdateTextField(1)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1ValueUpdateTextField1,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Numerator1ValueUpdateTextField1000	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1ValueUpdateTextField1,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator1ValueUpdateTextField1000,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	11	FALSE	UpdateTextField(1000)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1ValueUpdateTextField1,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator1ValueUpdateTextField1000,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Denominator2UnitsUpdateComboBoxg	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1ValueUpdateTextField1,Denominator2UnitsUpdateComboBoxg,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator1ValueUpdateTextField1000,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	12	FALSE	UpdateComboBox(g)
2dbadbae80020c6600c5505b5a6cd90d	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1ValueUpdateTextField1,Denominator2UnitsUpdateComboBoxg,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator1ValueUpdateTextField1000,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	Numerator2UnitsUpdateComboBoxmol	"Denominator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1ValueUpdateTextField1,Denominator2UnitsUpdateComboBoxg,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1SubstanceUpdateComboBoxH2O,Numerator1UnitsUpdateComboBoxg,Numerator1ValueUpdateTextField1000,Numerator2UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Numerator4UnitsUpdateComboBoxmol,Term0DefinitionUpdateComboBoxGiven Value,@"	0	13	FALSE	UpdateComboBox(mol)
