STUDENT_ID	PRE_STATE	ACTION	POST_STATE	ERROR	SEQNUM	GOAL	ACTION_LABEL
af909b7180020c66014000949483c4b5	"@"	Numerator1UnitsUpdateComboBoxml	"Numerator1UnitsUpdateComboBoxml,@"	0	1	FALSE	UpdateComboBox(ml)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,@"	Denominator1UnitsUpdateComboBoxL	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,@"	0	2	FALSE	UpdateComboBox(L)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,@"	Numerator1ValueUpdateTextField1000	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,@"	0	3	FALSE	UpdateTextField(1000)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,@"	Numerator1SubstanceUpdateComboBoxH2O	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,@"	0	4	FALSE	UpdateComboBox(H2O)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,@"	Denominator1SubstanceUpdateComboBoxH2O	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,@"	0	5	FALSE	UpdateComboBox(H2O)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,@"	Denominator1CancelUpdateCheckBox: true	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,@"	0	6	FALSE	UpdateCheckBox(: true)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,@"	Numerator0CancelUpdateCheckBox: true	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	0	7	FALSE	UpdateCheckBox(: true)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	Term0DefinitionUpdateComboBoxGiven Value	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Term0DefinitionUpdateComboBoxGiven Value,@"	0	8	FALSE	UpdateComboBox(Given Value)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Term0DefinitionUpdateComboBoxGiven Value,@"	Term1DefinitionUpdateComboBoxUnit Conversion	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,@"	0	9	FALSE	UpdateComboBox(Unit Conversion)
af909b7180020c66014000949483c4b5	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,@"	Numerator4ValueUpdateTextField400	"Numerator1UnitsUpdateComboBoxml,Denominator1UnitsUpdateComboBoxL,Numerator1ValueUpdateTextField1000,Numerator1SubstanceUpdateComboBoxH2O,Denominator1SubstanceUpdateComboBoxH2O,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Numerator4ValueUpdateTextField400,@"	0	10	FALSE	UpdateTextField(400)
