STUDENT_ID	PRE_STATE	ACTION	POST_STATE	ERROR	SEQNUM	GOAL	ACTION_LABEL
114d36a480020c6600f1aead80d0d496	"@"	Denominator1ValueUpdateTextField1000	"Denominator1ValueUpdateTextField1000,@"	0	1	FALSE	UpdateTextField(1000)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,@"	Denominator1UnitsUpdateComboBoxmg	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,@"	0	2	FALSE	UpdateComboBox(mg)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,@"	Denominator1SubstanceUpdateComboBoxCOH4	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,@"	0	3	FALSE	UpdateComboBox(COH4)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,@"	Numerator1ValueUpdateTextField1	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,@"	0	4	FALSE	UpdateTextField(1)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,@"	Numerator1UnitsUpdateComboBoxg	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,@"	0	5	FALSE	UpdateComboBox(g)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,@"	Numerator1SubstanceUpdateComboBoxCOH4	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,@"	0	6	FALSE	UpdateComboBox(COH4)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,@"	Term0DefinitionUpdateComboBoxGiven Value	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,@"	0	7	FALSE	UpdateComboBox(Given Value)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,@"	Term1DefinitionUpdateComboBoxUnit Conversion	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,@"	0	8	FALSE	UpdateComboBox(Unit Conversion)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,@"	Denominator1CancelUpdateCheckBox: true	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,@"	0	9	FALSE	UpdateCheckBox(: true)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,@"	Numerator0CancelUpdateCheckBox: true	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	0	10	FALSE	UpdateCheckBox(: true)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	Numerator4ValueUpdateTextField0.00106	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	1	11	FALSE	UpdateTextField(0.00106)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	Numerator4UnitsUpdateComboBoxg	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,@"	0	12	FALSE	UpdateComboBox(g)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,@"	Numerator4ValueUpdateTextField0.0106	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4ValueUpdateTextField0.0106,@"	0	13	FALSE	UpdateTextField(0.0106)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4ValueUpdateTextField0.0106,@"	Numerator4SubstanceUpdateComboBoxCOH4	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4ValueUpdateTextField0.0106,Numerator4SubstanceUpdateComboBoxCOH4,@"	0	14	FALSE	UpdateComboBox(COH4)
114d36a480020c6600f1aead80d0d496	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4ValueUpdateTextField0.0106,Numerator4SubstanceUpdateComboBoxCOH4,@"	doneButtonPressed-1	"Denominator1ValueUpdateTextField1000,Denominator1UnitsUpdateComboBoxmg,Denominator1SubstanceUpdateComboBoxCOH4,Numerator1ValueUpdateTextField1,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Term0DefinitionUpdateComboBoxGiven Value,Term1DefinitionUpdateComboBoxUnit Conversion,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4ValueUpdateTextField0.0106,Numerator4SubstanceUpdateComboBoxCOH4,doneButtonPressed-1,@"	0	15	TRUE	ButtonPressed(-1)
4277352f80020c6600f23fabcf91eb41	"@"	Denominator1UnitsUpdateComboBoxmg	"Denominator1UnitsUpdateComboBoxmg,@"	0	1	FALSE	UpdateComboBox(mg)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,@"	Numerator1ValueUpdateTextField0.001	"Denominator1UnitsUpdateComboBoxmg,@"	1	2	FALSE	UpdateTextField(0.001)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,@"	Numerator1UnitsUpdateComboBoxkg	"Denominator1UnitsUpdateComboBoxmg,@"	1	3	FALSE	UpdateComboBox(kg)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,@"	Numerator1UnitsUpdateComboBoxg	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,@"	0	4	FALSE	UpdateComboBox(g)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,@"	Numerator1ValueUpdateTextField0.001	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,@"	1	5	FALSE	UpdateTextField(0.001)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,@"	Numerator1SubstanceUpdateComboBoxCOH4	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,@"	0	6	FALSE	UpdateComboBox(COH4)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,@"	Denominator1SubstanceUpdateComboBoxCOH4	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,@"	0	7	FALSE	UpdateComboBox(COH4)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,@"	Denominator1CancelUpdateCheckBox: true	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,@"	0	8	FALSE	UpdateCheckBox(: true)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,@"	Numerator0CancelUpdateCheckBox: true	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	0	9	FALSE	UpdateCheckBox(: true)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	Numerator1ValueUpdateTextField1	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,@"	0	10	FALSE	UpdateTextField(1)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,@"	Denominator1ValueUpdateTextField1000	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,@"	0	11	FALSE	UpdateTextField(1000)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,@"	Numerator4ValueUpdateTextField0.0106	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,Numerator4ValueUpdateTextField0.0106,@"	0	12	FALSE	UpdateTextField(0.0106)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,Numerator4ValueUpdateTextField0.0106,@"	Numerator4UnitsUpdateComboBoxg	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,Numerator4ValueUpdateTextField0.0106,Numerator4UnitsUpdateComboBoxg,@"	0	13	FALSE	UpdateComboBox(g)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,Numerator4ValueUpdateTextField0.0106,Numerator4UnitsUpdateComboBoxg,@"	Numerator4SubstanceUpdateComboBoxCOH4	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,Numerator4ValueUpdateTextField0.0106,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,@"	0	14	FALSE	UpdateComboBox(COH4)
4277352f80020c6600f23fabcf91eb41	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,Numerator4ValueUpdateTextField0.0106,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,@"	doneButtonPressed-1	"Denominator1UnitsUpdateComboBoxmg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxCOH4,Denominator1SubstanceUpdateComboBoxCOH4,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator1ValueUpdateTextField1,Denominator1ValueUpdateTextField1000,Numerator4ValueUpdateTextField0.0106,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxCOH4,@"	1	15	FALSE	ButtonPressed(-1)
