STUDENT_ID	PRE_STATE	ACTION	POST_STATE	ERROR	SEQNUM	GOAL	ACTION_LABEL
114d36a480020c6600f1aead80d0d496	"@"	Numerator1ValueUpdateTextField2	"Numerator1ValueUpdateTextField2,@"	0	1	FALSE	UpdateTextField(2)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,@"	Numerator1UnitsUpdateComboBoxmol	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,@"	0	2	FALSE	UpdateComboBox(mol)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,@"	Numerator1SubstanceUpdateComboBoxBa	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,@"	0	3	FALSE	UpdateComboBox(Ba)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,@"	Denominator1ValueUpdateTextField1	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,@"	0	4	FALSE	UpdateTextField(1)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,@"	Denominator1UnitsUpdateComboBoxmol	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,@"	0	5	FALSE	UpdateComboBox(mol)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,@"	Denominator1SubstanceUpdateComboBoxYBa2Cu3O7	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,@"	0	6	FALSE	UpdateComboBox(YBa2Cu3O7)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,@"	Denominator1CancelUpdateCheckBox: true	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,@"	0	7	FALSE	UpdateCheckBox(: true)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,@"	Numerator0CancelUpdateCheckBox: true	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	0	8	FALSE	UpdateCheckBox(: true)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,@"	Numerator4UnitsUpdateComboBoxg	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,@"	0	9	FALSE	UpdateComboBox(g)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,@"	Numerator4SubstanceUpdateComboBoxBa	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxBa,@"	0	10	FALSE	UpdateComboBox(Ba)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxBa,@"	Numerator2ValueUpdateTextField137.33	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxBa,Numerator2ValueUpdateTextField137.33,@"	0	11	FALSE	UpdateTextField(137.33)
114d36a480020c6600f1aead80d0d496	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxBa,Numerator2ValueUpdateTextField137.33,@"	Numerator2UnitsUpdateComboBoxg	"Numerator1ValueUpdateTextField2,Numerator1UnitsUpdateComboBoxmol,Numerator1SubstanceUpdateComboBoxBa,Denominator1ValueUpdateTextField1,Denominator1UnitsUpdateComboBoxmol,Denominator1SubstanceUpdateComboBoxYBa2Cu3O7,Denominator1CancelUpdateCheckBox: true,Numerator0CancelUpdateCheckBox: true,Numerator4UnitsUpdateComboBoxg,Numerator4SubstanceUpdateComboBoxBa,Numerator2ValueUpdateTextField137.33,Numerator2UnitsUpdateComboBoxg,@"	0	12	FALSE	UpdateComboBox(g)
