STUDENT_ID	PRE_STATE	ACTION	POST_STATE	ERROR	SEQNUM	GOAL	ACTION_LABEL
2dbadbae80020c6600c5505b5a6cd90d	"@"	Term0DefinitionUpdateComboBoxGiven Value	"Term0DefinitionUpdateComboBoxGiven Value,@"	0	1	FALSE	UpdateComboBox(Given Value)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,@"	Numerator4UnitsUpdateComboBoxmol	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,@"	0	2	FALSE	UpdateComboBox(mol)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,@"	Numerator4SubstanceUpdateComboBoxCOH4	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,@"	0	3	FALSE	UpdateComboBox(COH4)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,@"	Denominator4SubstanceUpdateComboBoxH2O	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,@"	0	4	FALSE	UpdateComboBox(H2O)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,@"	Denominator4UnitsUpdateComboBoxkg	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,@"	0	5	FALSE	UpdateComboBox(kg)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,@"	Numerator1UnitsUpdateComboBoxg	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,@"	0	6	FALSE	UpdateComboBox(g)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,@"	Numerator1SubstanceUpdateComboBoxH2O	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxH2O,@"	0	7	FALSE	UpdateComboBox(H2O)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxH2O,@"	Denominator1UnitsUpdateComboBoxkg	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,@"	0	8	FALSE	UpdateComboBox(kg)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,@"	Denominator1SubstanceUpdateComboBoxH2O	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1SubstanceUpdateComboBoxH2O,@"	0	9	FALSE	UpdateComboBox(H2O)
2dbadbae80020c6600c5505b5a6cd90d	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1SubstanceUpdateComboBoxH2O,@"	Denominator1ValueUpdateTextField1	"Term0DefinitionUpdateComboBoxGiven Value,Numerator4UnitsUpdateComboBoxmol,Numerator4SubstanceUpdateComboBoxCOH4,Denominator4SubstanceUpdateComboBoxH2O,Denominator4UnitsUpdateComboBoxkg,Numerator1UnitsUpdateComboBoxg,Numerator1SubstanceUpdateComboBoxH2O,Denominator1UnitsUpdateComboBoxkg,Denominator1SubstanceUpdateComboBoxH2O,Denominator1ValueUpdateTextField1,@"	0	10	FALSE	UpdateTextField(1)
