PRE_STATE	POST_STATE	ACTION	STUDENT_ID	ERROR	GOAL
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	SIMP&	6.57473E+11	0	0
"A>(B&C),AvD,~D,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	MP	6.57473E+11	19	0
"A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,~D,~D&E\B"	DS	6.57473E+11	0	0
"A,A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	MP	6.57473E+11	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	SIMP	6.57473E+11	10	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	SIMP	6.57473E+11	10	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	SIMP	6.57473E+11	10	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	Extr	6.57473E+11	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B,B&q"	SIMP	6.57473E+11	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B,B&q"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	Del	6.57473E+11	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B,B&C,~D,~D&E\B"	SIMP~	6.57473E+11	0	TRUE
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	SIMP&	6579658265	0	0
"A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,~D,~D&E\B"	DS	6579658265	0	0
"A,A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	MP	6579658265	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B,B&C,~D,~D&E\B"	SIMP~	6579658265	0	TRUE
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	SIMP&	6.77666E+11	0	0
"A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,~D,~D&E\B"	DS	6.77666E+11	0	0
"A,A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	MP	6.77666E+11	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B,B&C,~D,~D&E\B"	SIMP~	6.77666E+11	0	TRUE
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	SIMP&	6.86978E+15	0	0
"A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,~D,~D&E\B"	DS	6.86978E+15	0	0
"A,A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	MP	6.86978E+15	0	0
