CASE_GROUP_ID	STUDENT_ID	ACTION	ERROR	PRE_STATE	POST_STATE	STATE_LABEL	ACTION_LABEL	GOAL
Boisvert_Fall_2009	6.5667E+15	TRANS&	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R),~M>~K\M&~Z	~M>~K	TRANS&	0
Boisvert_Fall_2009	6.5667E+15	TRANS	0	K>M,Z>R,~(K>R),~M>~K\M&~Z	K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	~R>~Z	TRANS	0
Boisvert_Fall_2009	6.5667E+15	CD	19	K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z		CD	0
Boisvert_Fall_2009	6.5667E+15	HS	19	K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z		HS	0
Boisvert_Fall_2009	6.5667E+15	CONJ	0	K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	(K>M)&(~R>~Z),K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	(K>M)&(~R>~Z)	CONJ	0
Boisvert_Fall_2009	6.5667E+15	CD	19	(K>M)&(~R>~Z),K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	(K>M)&(~R>~Z),K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z		CD	0
Boisvert_Fall_2009	6.5667E+15	IMPL	19	(K>M)&(~R>~Z),K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	(K>M)&(~R>~Z),K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z		IMPL	0
Boisvert_Fall_2009	6.5667E+15	IMPL	19	(K>M)&(~R>~Z),K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z	(K>M)&(~R>~Z),K>M,Z>R,~(K>R),~M>~K,~R>~Z\M&~Z		IMPL	0
Boisvert_Fall_2009	6.5667E+15	IMPL&	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	~(~KvR)	IMPL&	0
Boisvert_Fall_2009	6.5667E+15	DEM	0	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z	~~K&~R	DEM	0
Boisvert_Fall_2009	6.5667E+15	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~~K&~R\M&~Z	~R	SIMP	0
Boisvert_Fall_2009	6.5667E+15	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~R,~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	~~K	SIMP	0
Boisvert_Fall_2009	6.5667E+15	MT	0	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	~Z	MT	0
Boisvert_Fall_2009	6.5667E+15	DN	0	K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	K	DN	0
Boisvert_Fall_2009	6.5667E+15	MP	0	K,K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	M	MP	0
