DIRECTION	COURSE_ID	START / GOAL	SOLUTION_ATTEMPT	LEVEL	PARAMETERS NOT SPLIT	TOTAL TIME (SECONDS)	PROBLEM	OVERALL INTERACITON #	TIME IN SECONDS	PRE_STATE	PRE_CONDITION	POST_CONDITION	ADDED EDGE	POST_STATE	ERROR	GOAL	ACTION	START TIME	END TIME	SERVER TIME	STUDENT_ID
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	"pv(XvS),~p/XvS"	5	5	17291	1	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/XvS"	XvS	"pv(XvS),~p"	"XvS->pv(XvS),~p,"	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/XvS,pv(XvS),~p"	0	0	DS	Thu Dec 10 18:02:55 EST 2009	Thu Dec 10 18:02:59 EST 2009	Thu Dec 10 18:03:00 EST 2009	6.58E+15
I	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	"Xv(XvS),~X/XvS"	11	5	17292	5	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/XvS,pv(XvS),~p"	XvS	"Xv(XvS),~X"		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS"	0	0	INST	Thu Dec 10 18:02:55 EST 2009	Thu Dec 10 18:03:01 EST 2009	Thu Dec 10 18:03:06 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	p/~X	16	5	17294	3	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS"	p/~X	ADD-ERROR		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS"	19	0	ADD	Thu Dec 10 18:02:55 EST 2009	Thu Dec 10 18:03:08 EST 2009	Thu Dec 10 18:03:11 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	"~Xvq,~q/~X"	21	5	17296	2	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS"	~X	"~Xvq,~q"	"~X->~Xvq,~q,"	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS,~Xvq,~q"	0	0	DS	Thu Dec 10 18:02:56 EST 2009	Thu Dec 10 18:03:15 EST 2009	Thu Dec 10 18:03:17 EST 2009	6.58E+15
I	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	"~XvS,~S/~X"	28	5	17297	7	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS,~Xvq,~q"	~X	"~XvS,~S"		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS,~XvS,~S"	0	0	INST	Thu Dec 10 18:02:56 EST 2009	Thu Dec 10 18:03:17 EST 2009	Thu Dec 10 18:03:24 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	p/~XvS	33	5	17299	2	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS,~XvS,~S"	p/~XvS	HS-ERROR		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS,~XvS,~S"	19	0	HS	Thu Dec 10 18:02:56 EST 2009	Thu Dec 10 18:03:27 EST 2009	Thu Dec 10 18:03:29 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	S/~XvS	37	5	17301	1	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/Xv(XvS),~X,XvS,~XvS,~S"	~XvS	S	"~XvS->S,"	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Xv(XvS),~X,XvS,~XvS,~S"	0	0	ADD	Thu Dec 10 18:02:56 EST 2009	Thu Dec 10 18:03:32 EST 2009	Thu Dec 10 18:03:33 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	p/~S	44	5	17303	3	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Xv(XvS),~X,XvS,~XvS,~S"	p/~S	ADD-ERROR		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Xv(XvS),~X,XvS,~XvS,~S"	19	0	ADD	Thu Dec 10 18:02:56 EST 2009	Thu Dec 10 18:03:37 EST 2009	Thu Dec 10 18:03:40 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	p&~S/~S	51	5	17305	1	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Xv(XvS),~X,XvS,~XvS,~S"	~S	p&~S	"~S->p&~S,"	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Xv(XvS),~X,XvS,p&~S,~XvS,~S"	0	0	SIMP	Thu Dec 10 18:02:57 EST 2009	Thu Dec 10 18:03:47 EST 2009	Thu Dec 10 18:03:48 EST 2009	6.58E+15
I	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	X&~S/~S	57	5	17306	5	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Xv(XvS),~X,XvS,p&~S,~XvS,~S"	~S	X&~S		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,X&~S,Xv(XvS),~X,XvS,~XvS,~S"	0	0	INST	Thu Dec 10 18:02:57 EST 2009	Thu Dec 10 18:03:49 EST 2009	Thu Dec 10 18:03:54 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	"Svq,~q/S"	61	5	17308	2	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,X&~S,Xv(XvS),~X,XvS,~XvS,~S"	S	"Svq,~q"	"S->Svq,~q,"	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Svq,~q,X&~S,Xv(XvS),~X,XvS,~XvS,~S"	0	0	DS	Thu Dec 10 18:02:57 EST 2009	Thu Dec 10 18:03:56 EST 2009	Thu Dec 10 18:03:58 EST 2009	6.58E+15
I	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	1	1	"SvW,~W/S"	68	5	17309	6	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,Svq,~q,X&~S,Xv(XvS),~X,XvS,~XvS,~S"	S	"SvW,~W"		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/S,SvW,~W,X&~S,Xv(XvS),~X,XvS,~XvS,~S"	0	0	INST	Thu Dec 10 18:02:57 EST 2009	Thu Dec 10 18:03:59 EST 2009	Thu Dec 10 18:04:05 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	2	1	p&(XvS)/XvS	6	5	17328	1	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/XvS"	XvS	p&(XvS)	"XvS->p&(XvS),"	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/XvS,p&(XvS)"	0	0	SIMP	Thu Dec 10 18:08:59 EST 2009	Thu Dec 10 18:09:04 EST 2009	Thu Dec 10 18:09:05 EST 2009	6.58E+15
I	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	2	1	T&(XvS)/XvS	11	5	17329	5	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/XvS,p&(XvS)"	XvS	T&(XvS)		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/T&(XvS),XvS"	0	0	INST	Thu Dec 10 18:08:59 EST 2009	Thu Dec 10 18:09:05 EST 2009	Thu Dec 10 18:09:10 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	2	1	p/T&(XvS)	16	5	17331	3	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/T&(XvS),XvS"	p/T&(XvS)	MT-ERROR		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/T&(XvS),XvS"	19	0	MT	Thu Dec 10 18:08:59 EST 2009	Thu Dec 10 18:09:12 EST 2009	Thu Dec 10 18:09:15 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	2	1	p/T&(XvS)	21	5	17333	3	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/T&(XvS),XvS"	p/T&(XvS)	ADD-ERROR		"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/T&(XvS),XvS"	19	0	ADD	Thu Dec 10 18:08:59 EST 2009	Thu Dec 10 18:09:17 EST 2009	Thu Dec 10 18:09:20 EST 2009	6.58E+15
B	Croy_Fall_2009	"Z>(~Y>X),Z&~W,Wv(T>S),~YvT/XvS"	2	1	"(T&(XvS))vq,~q/T&(XvS)"	27	5	17335	2	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/T&(XvS),XvS"	T&(XvS)	"(T&(XvS))vq,~q"	"T&(XvS)->(T&(XvS))vq,~q,"	"Wv(T>S),Z&~W,Z>(~Y>X),~YvT/(T&(XvS))vq,~q,T&(XvS),XvS"	0	0	DS	Thu Dec 10 18:08:59 EST 2009	Thu Dec 10 18:09:24 EST 2009	Thu Dec 10 18:09:26 EST 2009	6.58E+15
