STUDENT_ID	PRE_STATE	ACTION	POST_STATE	ERROR	GOAL
s1	a	1	b	1	0
s1	b	14	a	0	0
s1	a	2	c	0	0
s1	c	4	e	0	0
s1	e	6	g	1	0
s1	g	16	e	0	0
s1	e	5	f	0	0
s1	f	7	h	0	1
s2	a	3	d	1	0
s2	d	15	a	0	0
s2	a	2	c	0	0
s2	c	4	e	0	0
s2	e	5	f	0	0
s2	f	7	h	0	1
s3	a	2	c	0	0
s3	c	4	e	0	0
s3	e	6	g	1	0
s3	g	16	e	0	0
s3	e	5	f	0	0
s3	f	7	h	0	1
s4	a	8	i	0	0
s4	i	10	n	1	0
s4	n	17	i	0	0
s4	i	9	j	0	0
s4	j	12	l	1	0
s4	l	18	j	0	0
s4	j	11	k	0	0
s4	k	13	m	0	1
s5	a	8	i	0	0
s5	i	9	j	0	0
s5	j	12	l	1	0
s5	l	18	j	0	0
s5	j	11	k	0	0
s5	k	13	m	0	1
s6	a	8	i	0	0
s6	i	9	j	0	0
s6	j	11	k	0	0
s6	k	13	m	0	1
