STUDENT_ID	 Problem	PRE_STATE	ACTION	POST_STATE	ERROR	 seqNum	GOAL
ceacheergirl	Native American Example 8	0.png	rectangle(-4 -9 4 3)	443.png	FALSE	0	FALSE
ceacheergirl	Native American Example 8	443.png	line(0 3 0 1)	444.png	FALSE	1	FALSE
ceacheergirl	Native American Example 8	444.png	line(-1 0 1 -2)	445.png	FALSE	2	FALSE
ceacheergirl	Native American Example 8	445.png	rectangle(-1 -2 1 0)	446.png	FALSE	3	FALSE
ceacheergirl	Native American Example 8	446.png	rectangle(-2 -5 2 -3)	447.png	FALSE	4	FALSE
ceacheergirl	Native American Example 8	447.png	rectangle(-3 -9 3 -6)	448.png	FALSE	5	FALSE
ceacheergirl	Native American Example 8	448.png	rectangle(0 -2 0 0)	449.png	FALSE	6	FALSE
ceacheergirl	Native American Example 8	449.png	rectangle(-1 -5 -1 -3)	450.png	FALSE	7	FALSE
ceacheergirl	Native American Example 8	450.png	rectangle(1 -5 1 -3)	451.png	FALSE	8	FALSE
ceacheergirl	Native American Example 8	451.png	rectangle(-2 -8 -2 -6)	452.png	FALSE	9	FALSE
ceacheergirl	Native American Example 8	452.png	rectangle(2 -8 2 -6)	453.png	FALSE	10	FALSE
ceacheergirl	Native American Example 8	453.png	point(3 -9)	454.png	FALSE	11	FALSE
ceacheergirl	Native American Example 8	454.png	point(-3 -9)	455.png	FALSE	12	FALSE
ceacheergirl	Native American Example 8	455.png	line(0 -3 0 -5)	456.png	FALSE	13	FALSE
ceacheergirl	Native American Example 8	456.png	line(-1 -6 -1 -8)	457.png	FALSE	14	FALSE
ceacheergirl	Native American Example 8	457.png	line(1 -6 1 -8)	458.png	FALSE	15	FALSE
ceacheergirl	Native American Example 8	458.png	point(-2 -9)	459.png	FALSE	16	FALSE
ceacheergirl	Native American Example 8	459.png	point(2 -9)	460.png	FALSE	17	FALSE
ceacheergirl	Native American Example 8	460.png	line(0 -6 0 -8)	461.png	FALSE	18	FALSE
ceacheergirl	Native American Example 8	461.png	line(0 -6 0 -8)	462.png	FALSE	19	FALSE
ceacheergirl	Native American Example 8	462.png	point(-1 -9)	463.png	FALSE	20	FALSE
ceacheergirl	Native American Example 8	463.png	point(1 -9)	464.png	FALSE	21	FALSE
ceacheergirl	Native American Example 8	464.png	point(0 -9)	465.png	FALSE	22	FALSE
