STUDENT_ID	 Problem	PRE_STATE	ACTION	POST_STATE	ERROR	 seqNum	GOAL
8337939	Tutorial 2	0.png	point(-5 5)	5.png	FALSE	0	FALSE
8337939	Tutorial 2	5.png	line(-5 5 5 -5)	6.png	FALSE	1	FALSE
8337939	Tutorial 2	6.png	line(-5 5 5 -5)	6.png	FALSE	2	FALSE
8337939	Tutorial 2	6.png	line(5 5 -5 -5)	7.png	FALSE	3	FALSE
8387225	Tutorial 2	0.png	point(9 0)	21.png	FALSE	0	FALSE
8387225	Tutorial 2	21.png	point(0 0)	22.png	FALSE	1	FALSE
8387225	Tutorial 2	22.png	line(0 0 0 0)	22.png	FALSE	2	FALSE
8387225	Tutorial 2	22.png	line(1 2 0 0)	23.png	FALSE	3	FALSE
8387225	Tutorial 2	23.png	undo	22.png	FALSE	5	FALSE
8387225	Tutorial 2	22.png	undo	21.png	FALSE	6	FALSE
8387225	Tutorial 2	21.png	undo	0.png	FALSE	7	FALSE
8543248	Tutorial 2	0.png	line(-5 5 5 -5)	6.png	FALSE	0	FALSE
8543248	Tutorial 2	6.png	point(0 0)	6.png	FALSE	1	FALSE
8543248	Tutorial 2	6.png	line(5 5 -5 -5)	7.png	FALSE	2	FALSE
8644983	Tutorial 2	0.png	point(-5 5)	5.png	FALSE	0	FALSE
8644983	Tutorial 2	5.png	point(-4 4)	61.png	FALSE	1	FALSE
8644983	Tutorial 2	61.png	undo	5.png	FALSE	3	FALSE
8644983	Tutorial 2	59.png	line(5 -5 0 0)	59.png	FALSE	4	FALSE
8644983	Tutorial 2	59.png	line(5 -5 0 0)	59.png	FALSE	5	FALSE
8644983	Tutorial 2	59.png	line(5 -5 0 0)	59.png	FALSE	6	FALSE
8644983	Tutorial 2	59.png	line(5 -5 0 0)	59.png	FALSE	7	FALSE
8644983	Tutorial 2	59.png	line(5 -5 -5 5)	62.png	FALSE	8	FALSE
8644983	Tutorial 2	0.png	line(-5 5 5 -5)	6.png	FALSE	0	FALSE
8644983	Tutorial 2	6.png	line(5 5 -5 -5)	7.png	FALSE	1	FALSE
954644011	Tutorial 2	0.png	line(5 5 0 0)	72.png	FALSE	0	FALSE
954644011	Tutorial 2	72.png	line(-5 5 0 0)	73.png	FALSE	1	FALSE
954644011	Tutorial 2	73.png	line(-5 -5 0 0)	74.png	FALSE	2	FALSE
954644011	Tutorial 2	74.png	line(5 -5 0 0)	7.png	FALSE	3	FALSE
Aaron	Tutorial 2	0.png	line(5 5 -5 -5)	117.png	FALSE	0	FALSE
Aaron	Tutorial 2	117.png	line(-5 5 5 -5)	7.png	FALSE	1	FALSE
Alex	Tutorial 2	0.png	point(0 0)	121.png	FALSE	0	FALSE
Alex	Tutorial 2	121.png	point(1 1)	122.png	FALSE	1	FALSE
Alex	Tutorial 2	122.png	point(2 2)	123.png	FALSE	2	FALSE
Alex	Tutorial 2	123.png	point(3 3)	124.png	FALSE	3	FALSE
Alex	Tutorial 2	124.png	point(4 4)	125.png	FALSE	4	FALSE
Alex	Tutorial 2	125.png	point(5 5)	72.png	FALSE	5	FALSE
Alex	Tutorial 2	72.png	point(1 -1)	126.png	FALSE	6	FALSE
Alex	Tutorial 2	126.png	point(2 -2)	127.png	FALSE	7	FALSE
Alex	Tutorial 2	127.png	point(4 -4)	128.png	FALSE	8	FALSE
Alex	Tutorial 2	128.png	point(3 -3)	129.png	FALSE	9	FALSE
Alex	Tutorial 2	129.png	point(5 -5)	130.png	FALSE	10	FALSE
Alex	Tutorial 2	130.png	point(-1 -1)	131.png	FALSE	11	FALSE
Alex	Tutorial 2	131.png	point(-2 -2)	132.png	FALSE	12	FALSE
Alex	Tutorial 2	132.png	point(-3 -3)	133.png	FALSE	13	FALSE
Alex	Tutorial 2	133.png	point(-4 -4)	134.png	FALSE	14	FALSE
Alex	Tutorial 2	134.png	point(-5 -5)	135.png	FALSE	15	FALSE
Alex	Tutorial 2	135.png	point(-1 1)	136.png	FALSE	16	FALSE
Alex	Tutorial 2	136.png	point(-2 2)	137.png	FALSE	17	FALSE
Alex	Tutorial 2	137.png	point(-3 3)	138.png	FALSE	18	FALSE
Alex	Tutorial 2	138.png	point(-4 4)	139.png	FALSE	19	FALSE
Alex	Tutorial 2	139.png	point(-5 4)	140.png	FALSE	20	FALSE
Alex	Tutorial 2	140.png	point(-5 5)	141.png	FALSE	21	FALSE
Alex	Tutorial 2	141.png	undo	140.png	FALSE	23	FALSE
Alex	Tutorial 2	139.png	undo	138.png	FALSE	24	FALSE
Alex	Tutorial 2	138.png	point(-5 5)	142.png	FALSE	24	FALSE
Alex	Tutorial 2	0.png	line(0 0 0 0)	121.png	FALSE	0	FALSE
Alex	Tutorial 2	121.png	undo	0.png	FALSE	2	FALSE
Alex	Tutorial 2	0.png	line(-5 5 5 -5)	6.png	FALSE	2	FALSE
Alex	Tutorial 2	6.png	line(5 5 -5 -5)	7.png	FALSE	3	FALSE
Alex	Tutorial 2	0.png	line(-5 5 5 -5)	6.png	FALSE	0	FALSE
Alex	Tutorial 2	6.png	line(-5 -5 5 5)	7.png	FALSE	1	FALSE
alexlynn	Tutorial 2	0.png	point(-5 5)	5.png	FALSE	0	FALSE
alexlynn	Tutorial 2	5.png	point(-5 5)	5.png	FALSE	1	FALSE
alexlynn	Tutorial 2	5.png	point(-4 4)	61.png	FALSE	2	FALSE
alexlynn	Tutorial 2	61.png	point(-3 3)	172.png	FALSE	3	FALSE
alexlynn	Tutorial 2	172.png	point(-2 2)	173.png	FALSE	4	FALSE
alexlynn	Tutorial 2	173.png	point(-1 1)	174.png	FALSE	5	FALSE
alexlynn	Tutorial 2	174.png	point(0 0)	175.png	FALSE	6	FALSE
alexlynn	Tutorial 2	175.png	point(1 -1)	176.png	FALSE	7	FALSE
alexlynn	Tutorial 2	176.png	point(2 -2)	177.png	FALSE	8	FALSE
alexlynn	Tutorial 2	177.png	point(3 -3)	178.png	FALSE	9	FALSE
alexlynn	Tutorial 2	178.png	point(4 -4)	179.png	FALSE	10	FALSE
alexlynn	Tutorial 2	179.png	point(5 -5)	6.png	FALSE	11	FALSE
